heading,link,time,source
Subject,No link available,Date,AICTE
Last date for the submission of application for New institutions offering BBA/BCA/BMS has been extended till 15th July 2024,https://aicte-india.org/sites/default/files/public%20notice%20approval.pdf,"Saturday, June 29, 2024",AICTE
Academic Calendar 2024 -25,https://www.aicte-india.org/sites/default/files/Academic%20Calandar%202024-25.pdf,"Friday, June 28, 2024",AICTE
"Request for approval for Working Professionals, Vocational Courses, and VLSI Courses","https://www.aicte-india.org/sites/default/files/Working%20Professionals,%20Vocational%20Courses,%20and%20VLSI.pdf","Thursday, June 27, 2024",AICTE
"Last date has been extended to apply under QIP 2024 :30 June, 2024",No link available,"Thursday, June 20, 2024",AICTE
Last date for the Nomination for National Awards To Teachers 2024 has been extended till 01st July 2024,No link available,"Thursday, June 20, 2024",AICTE
Advisory regarding compliance of Fire Safety norms,https://www.aicte-india.org/sites/default/files/Advisory%20of%20Fire%20Safety.pdf,"Friday, June 14, 2024",AICTE
"clarification regarding approval of Integrated BBA/MBA, BCA/MCA course.",https://www.aicte-india.org/sites/default/files/Circular%20for%20revised%20gudielines%20for%20working%20Professionals%20dated%2010.06.2024.pdf,"Wednesday, June 12, 2024",AICTE
Revised Guidelines for running for running B.E/B.Tech Program and Diploma Program for working Professionals in AICTE Approved Institutions.,https://www.aicte-india.org/sites/default/files/Circular%20for%20revised%20gudielines%20for%20working%20Professionals.pdf,"Wednesday, June 12, 2024",AICTE
Last date for the submission of application for New institutions offering BBA/BCA/BMS has been extended till 17th June 2024.,No link available,"Wednesday, June 12, 2024",AICTE
"clarification regarding approval of Integrated BBA/MBA, BCA/MCA course.",https://www.aicte-india.org/sites/default/files/Public%20Notice%20for%20Integrated%20BBA-BCA%20updated.pdf,"Wednesday, June 12, 2024",AICTE
Department: Technical Education Dept. Subject: Notice for Institute : Registration started to apply Scrutiny Center (SC) for A.Y. 2024-25 under Technical Education Courses.,https://cetcell.mahacet.org/wp-content/uploads/2023/12/FC-Paripatrak-2024-25.pdf,03/07/2024,MahaCET
Department: MAH-BBA/BCA/BMS/BMM CET Subject: Notice No. 2 for Extension to MAH-BBA/BCA/BMS/BBM Additional CET Application Form Filling (A.Y. 2024-25),https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.2_BBA_BCA_BMS_BBM_2024_Ext.pdf,03/07/2024,MahaCET
Department: MAH-AAC-CET Subject: NOTICE No. 05 MAH-AAC-CET 2024:Schedule for the Grievances and further process,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Art-educationNOTICE-No-05.pdf,01/07/2024,MahaCET
Department: MCA Subject: CAP Process is started for MCA course A.Y. 2024-25,#,06/07/2024,MahaCET
Department: Higher & Technical Education Department Subject: Important Notice : Tentative CAP Start Date for Centralized Admission Process A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/CAP-2024-25-Tentative-Schedule-Important-Notice-.pdf,04/07/2024,MahaCET
